Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
203,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,20-088,2004.0,0.5,14.0,20.0,70.0,207.0,42.0,11.0,12.0,91.7,1.0,2.0,50.0,2.0,4.0,50.0,0,0.1,0.1,-0.1,1.0,0.0,1.0,0.0,2.0,Matches
204,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,23-103,2001.0,15.0,250.0,342.0,73.1,3877.0,745.0,137.0,160.0,85.6,88.0,113.0,77.9,15.0,41.0,36.6,4,1.9,1.2,2.1,24.0,12.0,17.0,9.0,22.0,Matches
205,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24-030,2000.0,4.3,163.0,204.0,79.9,2870.0,977.0,74.0,83.0,89.2,64.0,76.0,84.2,20.0,33.0,60.6,0,0.2,0.3,-0.2,3.0,26.0,4.0,0.0,28.0,Matches
206,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22-331,2001.0,1.1,59.0,74.0,79.7,791.0,234.0,27.0,32.0,84.4,21.0,26.0,80.8,2.0,4.0,50.0,1,0.7,0.6,0.3,6.0,2.0,5.0,2.0,9.0,Matches
207,Mattia Bani,it ITA,DF,Genoa,it Serie A,30-153,1993.0,25.6,962.0,1152.0,83.5,18643.0,6794.0,325.0,356.0,91.3,533.0,586.0,91.0,95.0,181.0,52.5,0,0.1,0.1,-0.1,2.0,36.0,1.0,0.0,37.0,Matches
208,Léo Baptistão,br BRA,FW,Almería,es La Liga,31-259,1992.0,18.1,295.0,480.0,61.5,4069.0,1089.0,175.0,248.0,70.6,82.0,131.0,62.6,18.0,41.0,43.9,0,1.7,0.9,-1.7,14.0,18.0,6.0,1.0,40.0,Matches
209,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,26-033,1998.0,2.5,66.0,90.0,73.3,1144.0,351.0,33.0,39.0,84.6,25.0,28.0,89.3,7.0,15.0,46.7,1,0.2,0.4,0.8,4.0,7.0,3.0,2.0,5.0,Matches
210,Antonín Barák,cz CZE,"MF,FW",Fiorentina,it Serie A,29-160,1994.0,6.9,254.0,303.0,83.8,3846.0,735.0,151.0,167.0,90.4,80.0,96.0,83.3,15.0,18.0,83.3,1,0.6,0.7,0.4,9.0,21.0,5.0,0.0,26.0,Matches
211,Francisco Barbosa,es ESP,GK,Betis,es La Liga,25-004,1999.0,2.5,54.0,84.0,64.3,1555.0,1025.0,7.0,7.0,100.0,28.0,30.0,93.3,18.0,44.0,40.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
212,Valentín Barco,ar ARG,"DF,FW",Brighton,eng Premier League,19-293,2004.0,2.0,87.0,111.0,78.4,1110.0,433.0,62.0,67.0,92.5,18.0,25.0,72.0,3.0,10.0,30.0,0,0.1,0.3,-0.1,2.0,3.0,1.0,0.0,7.0,Matches
213,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,21-252,2002.0,3.0,70.0,90.0,77.8,946.0,275.0,50.0,60.0,83.3,18.0,21.0,85.7,2.0,4.0,50.0,0,0.3,0.4,-0.3,4.0,5.0,3.0,0.0,9.0,Matches
