Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
50,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39-023,1985,10,7,721,8.0,21,2.62,53,33,66.0,3,1,3,1,14.3,3,3,0,0,0.0,Matches
51,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-029,1995,35,35,3150,35.0,50,1.43,156,106,71.2,8,13,14,6,17.1,6,5,1,0,16.7,Matches
52,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,33-008,1991,5,4,371,4.1,7,1.7,13,6,53.8,0,0,4,1,25.0,1,1,0,0,0.0,Matches
53,Raúl Fernández,es ESP,GK,Granada,es La Liga,36-059,1988,4,4,280,3.1,11,3.54,17,7,35.3,1,0,3,0,0.0,1,0,0,1,,Matches
54,Fernando,es ESP,GK,Almería,es La Liga,33-336,1990,2,2,180,2.0,7,3.5,11,4,36.4,0,0,2,0,0.0,0,0,0,0,,Matches
55,André Ferreira,pt POR,GK,Granada,es La Liga,27-348,1996,15,14,1340,14.9,29,1.95,77,49,66.2,0,5,9,0,0.0,3,3,0,0,0.0,Matches
56,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,34-119,1990,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
57,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30-333,1993,35,35,3105,34.5,58,1.68,165,107,66.1,9,9,17,7,20.0,2,2,0,0,0.0,Matches
58,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,33-118,1991,28,27,2469,27.4,75,2.73,189,119,63.0,3,4,20,1,3.7,6,5,0,1,0.0,Matches
59,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,32-130,1992,35,35,3150,35.0,44,1.26,157,112,74.5,23,6,6,11,31.4,6,4,1,1,20.0,Matches
60,Luca Gemello,it ITA,GK,Torino,it Serie A,23-313,2000,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
61,David Gil,es ESP,GK,Cádiz,es La Liga,30-121,1994,4,3,282,3.1,2,0.64,12,10,83.3,0,3,0,1,33.3,0,0,0,0,,Matches
62,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,29-054,1995,7,7,630,7.0,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,,Matches
63,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,33-280,1990,1,1,90,1.0,2,2.0,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
64,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,35-232,1988,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,,Matches
65,Ivo Grbić,hr CRO,GK,Sheffield Utd,eng Premier League,28-114,1996,9,9,771,8.6,25,2.92,59,36,57.6,0,3,6,0,0.0,1,0,0,1,,Matches
66,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,27-035,1997,1,1,90,1.0,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
67,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,37-122,1987,25,24,2223,24.7,37,1.5,109,74,69.7,7,7,10,6,25.0,4,4,0,0,0.0,Matches
68,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34-005,1990,12,12,1080,12.0,8,0.67,39,31,79.5,9,3,0,5,41.7,1,0,0,1,,Matches
